feature_term,type,stage,roles,justified_by_cases,enforced_by_rules
campaign_margin,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-019,BONUS-RULE-001
candidate_logistics_cost,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-014,BUDGET-RULE-001
capacity_shortfall,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-025,STORAGE-RULE-002
cash_recovery,number,CANDIDATE_FEATURE_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-010,ALLOCATION-RULE-001
cash_recovery_type,number,CANDIDATE_FEATURE_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-009,VALUE-RULE-002
category_match_status,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-012,PARTNER-RULE-001
channel_capacity,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-010,ALLOCATION-RULE-001
cold_chain_status,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-013,STORAGE-RULE-001
companion_stock,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-018,BUNDLE-RULE-001
compatibility_group,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-016,WHOLESALE-RULE-001
compatibility_rejection_reason,string_enum,CANDIDATE_FEATURE_OR_REPORT,REPORT_OR_AUDIT,EVAL-012,PARTNER-RULE-001
condition_disclosure_required,boolean,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-022,QUALITY-RULE-002
critical_feature_coverage,string_or_number,COVERAGE_GATE,GATING_OR_RULE_INPUT,EVAL-028,COVERAGE-RULE-001
critical_field_completeness,string_or_number,VALIDATION,GATING_OR_RULE_INPUT,EVAL-001,VALIDATION-RULE-000
customer_segment_match,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-027,PARTNER-RULE-004
deadline_slack,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-015,TIMING-RULE-003
defect_affects_primary_barrier,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-022,QUALITY-RULE-002
defect_severity,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-005,SAFETY-RULE-001
defect_type,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-022,QUALITY-RULE-002
demand_valid_until,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-011,DEMAND-RULE-001
destination_branch_demand,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-026,TRANSFER-RULE-001
destination_storage,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-013,STORAGE-RULE-001
direct_cash_recovery,number,CANDIDATE_FEATURE_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-019,BONUS-RULE-001
distribution_time,string_or_number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-003,TIMING-RULE-001
donation_cash_recovery,number,CANDIDATE_FEATURE_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-020,DONATION-RULE-001
eligible_rescue_denominator,string_or_number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-030,PIPELINE-RULE-001
equipment_capacity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-017,CAPABILITY-RULE-002
estimated_completion_hours,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-003,TIMING-RULE-001
expected_net_recovery,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-029,OBJECTIVE-RULE-001
expected_physical_rescue,string_or_number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-029,OBJECTIVE-RULE-001
expected_yield,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-002,CAPABILITY-RULE-001
expiry_status,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-024,EXPIRY-RULE-001
fallback_net_recovery,number,CANDIDATE_FEATURE_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-008,VALUE-RULE-001
future_branch_recovery,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-010 | EVAL-026,ALLOCATION-RULE-001 | TRANSFER-RULE-001
global_allocation_quantity,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-004,CAPACITY-RULE-001
global_budget,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-030,PIPELINE-RULE-001
global_logistics_budget,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-014,BUDGET-RULE-001
hard_reject_reason,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-005,SAFETY-RULE-001
human_review_required,boolean,VALIDATION,GATING_OR_RULE_INPUT,EVAL-001,VALIDATION-RULE-000
ingredient_capacity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-002 | EVAL-017,CAPABILITY-RULE-001 | CAPABILITY-RULE-002
inventory_loss,number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-024,EXPIRY-RULE-001
labor_capacity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-002 | EVAL-017,CAPABILITY-RULE-001 | CAPABILITY-RULE-002
marginal_gain,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-008,VALUE-RULE-001
marginal_gain_per_budget_unit,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-014,BUDGET-RULE-001
marginal_gain_vs_fallback,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-004,CAPACITY-RULE-001
marginal_gain_vs_local,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-026,TRANSFER-RULE-001
marginal_value_per_capacity_unit,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-025,STORAGE-RULE-002
max_bonus_per_transaction,string_or_number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-019,BONUS-RULE-001
max_bundle_quantity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-018,BUNDLE-RULE-001
maximum_out_of_storage_hours,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-013,STORAGE-RULE-001
missing_field_list,list_or_object,VALIDATION,GATING_OR_RULE_INPUT,EVAL-001,VALIDATION-RULE-000
optimization_objective,string_enum,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-029,OBJECTIVE-RULE-001
package_volume,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-027,PARTNER-RULE-004
partner_shared_capacity,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-004,CAPACITY-RULE-001
partner_size_range,string_or_number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-027,PARTNER-RULE-004
pickup_completion,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-020,DONATION-RULE-001
pickup_window,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-003,TIMING-RULE-001
possible_excursion,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-023,VERIFICATION-RULE-001
post_season_discount,string_or_number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-006,TIMING-RULE-002
primary_barrier_integrity,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-005,SAFETY-RULE-001
qualifying_transactions,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-019,BONUS-RULE-001
recipient_verification,string_or_number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-020,DONATION-RULE-001
reconfirmation_required,boolean,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-011,DEMAND-RULE-001
registry_freshness_status,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-011,DEMAND-RULE-001
rejection_explanation,list_or_object,CANDIDATE_FEATURE_OR_REPORT,REPORT_OR_AUDIT,EVAL-030,PIPELINE-RULE-001
remaining_commercial_window_days,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-006,TIMING-RULE-002
remaining_shelf_life_days,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-006,TIMING-RULE-002
replacement_cost,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-009,VALUE-RULE-002
repurpose_demand,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-002 | EVAL-017,CAPABILITY-RULE-001 | CAPABILITY-RULE-002
repurpose_equipment_capacity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-002,CAPABILITY-RULE-001
rescue_floor,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-029,OBJECTIVE-RULE-001
rescue_floor_status,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-030,PIPELINE-RULE-001
reserved_companion_stock,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-018,BUNDLE-RULE-001
return_cost,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-007,RETURN-RULE-001
return_deadline,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-007,RETURN-RULE-001
return_eligible_quantity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-007 | EVAL-008,RETURN-RULE-001 | VALUE-RULE-001
return_net_recovery,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-008,VALUE-RULE-001
reverification_cutoff,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-021,DONATION-RULE-002
safe_window_hours,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-003,TIMING-RULE-001
safety_clearance_status,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-023,VERIFICATION-RULE-001
same_day_distribution,boolean,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-020,DONATION-RULE-001
seal_integrity,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-005,SAFETY-RULE-001
seasonality_status,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-006,TIMING-RULE-002
source_storage,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-013,STORAGE-RULE-001
status_routing,list_or_object,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-030,PIPELINE-RULE-001
storage_history_status,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-023,VERIFICATION-RULE-001
storage_requirement_mode,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-025,STORAGE-RULE-002
supplier_credit,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-007,RETURN-RULE-001
supplier_recall_policy_status,string_enum,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-024,EXPIRY-RULE-001
supplier_return_status,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-007,RETURN-RULE-001
supported_business_type,boolean,COVERAGE_GATE,GATING_OR_RULE_INPUT,EVAL-028,COVERAGE-RULE-001
supported_category,boolean,COVERAGE_GATE,GATING_OR_RULE_INPUT,EVAL-028,COVERAGE-RULE-001
supported_storage,boolean,COVERAGE_GATE,GATING_OR_RULE_INPUT,EVAL-028,COVERAGE-RULE-001
temperature_log_available,boolean,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-023,VERIFICATION-RULE-001
timing_feasibility,string_or_number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-003,TIMING-RULE-001
timing_rejection_reason,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-015,TIMING-RULE-003
total_donation_completion_time,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-021,DONATION-RULE-002
traceability_readable,boolean,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-022,QUALITY-RULE-002
tradeoff_amount,string_or_number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC | REPORT_OR_AUDIT,EVAL-029,OBJECTIVE-RULE-001
transfer_cost,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-026,TRANSFER-RULE-001
transport_storage,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-013,STORAGE-RULE-001
uplift_evidence_status,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-019,BONUS-RULE-001
use_case_match,string_enum,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-027,PARTNER-RULE-004
validation_status,string_enum,VALIDATION,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-001,VALIDATION-RULE-000
value_type,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE | REPORT_OR_AUDIT,EVAL-030,PIPELINE-RULE-001
verified_internal_need,string_or_number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-009,VALUE-RULE-002
wholesale_moq,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-016,WHOLESALE-RULE-001
